image1,image2,image3,choice
398,1628,714,3
1334,1599,453,1
536,610,1458,2
855,1342,451,1
476,204,1294,2
1528,877,622,1
583,731,1043,1
1426,193,627,3
792,1765,1376,1
237,160,1395,3
1642,958,1274,2
1268,1741,390,3
1658,946,1586,1
1135,952,1192,3
334,1040,420,3
1645,894,435,3
1604,1143,486,2
1076,1351,1044,3
128,967,976,2
1321,1063,1854,3
756,1039,1481,1
737,467,1749,1
240,465,128,3
15,1322,861,2
756,624,1670,2
105,1507,360,1
993,1761,676,2
1639,1702,1374,3
895,1366,1431,2
1766,97,1836,2
510,1452,1693,2
224,676,1775,2
1133,1411,1660,3
1019,1172,330,3
1536,726,1268,3
618,1377,189,2
1586,999,305,2
1436,1763,353,2
1231,818,736,3
1820,756,825,1
1542,453,1591,1
1385,1695,463,1
1458,1281,1745,2
734,1139,1020,1
296,1764,776,1
490,810,1524,1
953,1159,1101,1
337,880,593,3
262,1718,625,2
26,1112,1153,1
711,1715,351,1
1017,898,1320,2
911,52,114,2
205,120,1685,1
647,76,1328,2
643,1390,1793,2
985,1235,620,1
510,1328,507,2
470,1722,97,3
1449,494,1737,3
1775,372,573,1
1835,731,976,2
661,1393,283,3
944,469,1001,1
635,1308,770,3
1052,509,1242,2
41,824,460,1
1510,686,1089,3
682,744,1416,2
910,1352,1472,2
931,1054,1456,2
913,1279,237,1
351,1716,1483,1
244,347,1482,1
313,1320,584,1
1185,94,1518,3
370,721,1197,1
1015,1008,1625,2
428,1306,165,1
1823,183,1685,2
331,981,905,3
441,780,1685,1
818,109,786,3
472,161,970,1
928,1246,1713,1
1809,828,327,3
878,868,345,2
1499,1135,1454,1
1533,1325,797,1
825,367,690,2
1502,951,96,1
292,259,1842,3
975,1784,731,3
807,899,1258,3
1460,1621,586,1
101,712,665,3
1241,1049,441,3
804,740,1033,2
1807,1373,1143,2
88,1790,1696,1
8,46,508,3
1845,1736,564,3
1432,1634,1854,1
286,293,1056,3
1435,625,1646,2
1543,1100,1758,1
925,609,1591,3
1434,658,1101,1
1781,58,491,1
1767,961,1644,2
173,1133,1415,3
1641,380,336,1
279,221,647,1
1775,955,707,2
1321,895,127,3
134,1307,797,1
1063,1724,94,2
478,1100,1550,2
1332,1778,446,1
840,705,1587,3
199,17,701,3
1427,1229,1727,1
195,1845,682,1
970,180,1215,3
1066,1184,745,3
396,752,951,1
1595,1395,470,2
144,1109,1300,2
1291,122,90,2
1284,663,765,3
640,436,987,3
1080,172,1839,2
242,186,1309,1
408,1139,682,1
940,1444,24,3
962,1498,688,1
359,1170,1712,2
1098,1084,268,3
833,137,722,3
1773,1232,1485,3
1818,66,435,3
30,1332,1209,3
1067,1346,1116,3
838,1092,137,2
1622,1569,721,2
1534,934,566,2
1073,1564,1649,3
1175,1005,542,1
645,893,933,2
1320,1063,20,1
243,370,53,3
1523,1123,1206,2
338,710,71,3
1451,464,480,1
1116,875,495,2
1111,351,2,1
1845,1791,263,2
1725,143,273,3
9,322,143,1
1547,1103,72,1
1600,1572,734,3
646,599,1621,1
649,1352,454,3
820,954,1106,1
1468,1598,383,3
769,159,403,1
1625,551,1829,2
100,410,648,3
92,287,822,2
932,1438,545,1
342,1231,1638,2
853,338,483,2
1319,1009,664,2
1118,196,1845,3
623,1163,162,2
1001,1851,1343,3
174,101,911,2
1640,925,997,2
697,722,245,1
57,1322,1660,1
51,187,640,2
1216,194,1473,3
702,777,417,2
1016,224,469,3
1433,1596,944,1
1543,1092,1541,3
631,238,765,2
1789,1308,1477,3
146,1653,587,1
1378,1596,1718,2
1771,703,498,3
324,921,1021,3
1207,154,1436,2
1422,1398,651,1
1512,1127,986,2
1243,484,1822,3
1161,940,1294,3
870,93,1405,3
1257,676,238,2
809,854,1586,1
456,165,964,1
1399,1196,853,2
1322,619,489,1
564,1042,11,3
324,1311,197,2
963,823,174,1
1570,1125,278,1
50,996,583,2
1334,821,343,2
756,990,1197,2
1104,1086,728,3
372,1243,523,1
1388,291,367,3
421,695,614,3
138,137,50,3
436,295,518,2
408,1846,1455,2
1664,1111,789,2
476,734,470,2
1247,610,69,3
650,1430,845,1
1250,1800,24,2
1436,572,313,3
736,1746,511,2
1829,517,193,3
469,1063,1108,3
1101,347,889,2
1773,1827,427,2
273,918,710,1
623,1181,948,3
594,1475,714,2
557,1095,1825,1
341,1395,1174,1
1498,535,1163,1
1530,1613,1109,1
474,217,1702,3
361,1417,1379,3
1257,1541,1055,1
539,1509,460,2
1849,1757,157,2
877,974,902,2
1779,1367,454,1
1570,1755,809,3
1363,329,70,2
514,1165,46,2
1548,1417,1240,1
289,708,276,1
1817,45,149,1
579,1459,982,1
109,324,1117,3
273,800,903,2
60,1426,1327,2
43,144,40,2
1174,1776,1783,2
1578,1438,451,2
350,1188,296,1
461,723,1008,1
1007,1718,306,1
1128,1732,189,1
1175,911,954,1
715,73,1772,3
1350,1207,1440,3
61,1060,724,1
220,749,436,1
1221,174,1104,2
1718,1265,1555,1
51,16,516,2
1459,1111,431,3
334,687,256,3
934,1104,1091,2
1321,629,120,2
1275,1065,1371,1
1082,1563,839,2
611,307,1649,3
1263,384,111,1
1679,12,1019,1
1021,1238,503,3
1554,1690,804,2
1757,1284,1288,2
1750,377,1199,1
1748,832,704,1
822,1630,398,1
826,839,556,1
1367,200,260,3
1847,1197,1382,1
1660,1109,326,3
1236,944,416,3
1738,557,954,1
1506,74,1355,1
1260,1103,836,2
338,816,244,2
486,1003,1727,1
1672,1744,50,2
644,1306,487,2
1539,269,549,2
1017,1064,1552,2
35,826,489,3
189,347,491,3
187,808,872,1
660,570,1435,2
1523,1815,1467,2
1571,805,1821,1
1353,1211,974,3
1688,1323,1149,3
1202,1521,1608,1
916,551,1689,1
1730,855,595,3
1850,1235,1681,1
1724,1783,1211,1
500,363,140,3
474,1001,1486,1
1252,462,1321,2
1473,580,1111,1
1069,1165,578,3
1479,62,1597,2
1847,851,1135,3
1408,568,1066,1
1299,1352,1487,3
556,1808,774,1
588,515,1124,1
1127,928,523,1
1200,1305,1484,3
376,779,732,2
596,655,1594,1
471,1021,583,1
234,1625,1525,3
561,1278,47,2
464,345,1835,1
1729,586,1275,3
1516,199,1813,1
1274,645,1177,3
1419,157,995,1
139,998,637,2
1176,777,23,3
1628,785,1742,2
1328,1700,158,3
1464,761,636,2
1171,1279,1503,1
1698,571,1359,3
71,1237,1695,3
471,31,1119,1
1299,1191,239,1
969,1839,1726,3
1519,1131,1833,1
1373,717,292,2
572,359,1131,1
1163,624,1639,3
171,1566,1690,2
1403,61,1331,2
1131,392,1212,2
1221,19,479,1
601,411,866,2
1658,706,830,2
553,1086,1022,2
1503,614,88,2
64,1562,965,2
615,1822,1439,3
1204,65,1446,3
1752,669,1111,3
489,234,455,1
114,466,1072,1
1515,564,176,3
1347,887,736,3
1685,1146,359,1
220,860,470,2
432,809,1255,3
192,263,646,3
608,3,1722,1
1202,869,963,2
698,733,812,3
345,1565,994,1
1550,1723,1257,3
215,1587,657,1
1200,837,945,1
301,1370,1509,2
1476,1739,986,1
1451,1034,824,3
1268,1709,705,1
728,1378,559,1
1195,82,287,3
1205,75,1178,2
1356,1519,54,3
1337,1601,632,3
1350,1221,1480,3
1709,1044,356,3
650,1318,254,1
1099,709,1327,2
1845,1830,83,2
607,1772,92,1
1621,1039,1389,2
733,640,893,2
142,1594,222,1
1556,1426,237,1
198,1225,617,1
1854,420,666,1
830,1112,771,1
1459,101,711,2
868,709,1851,2
62,828,344,2
727,699,1377,3
875,1815,774,3
1093,1311,577,1
265,207,150,1
440,1407,217,1
1576,1835,1198,2
667,1536,1437,1
593,1537,1286,3
1133,259,1051,2
267,1603,956,3
1500,795,722,1
993,1560,465,3
100,1156,115,2
263,305,1295,2
1366,970,1550,1
450,1407,982,2
187,195,936,3
772,1048,1730,1
1745,1592,710,1
1411,536,1825,2
1837,705,1168,3
589,864,879,2
241,728,908,3
380,1160,1438,2
1003,542,1305,2
637,317,217,2
449,1236,1408,2
1208,145,1278,3
243,1709,448,1
1463,1645,388,3
1764,817,468,1
238,823,1394,3
1446,149,1123,3
1006,962,796,2
1343,439,1577,2
714,850,643,1
733,1560,1506,2
948,767,638,2
1516,386,729,1
706,1637,1614,3
420,982,651,2
1661,632,253,2
328,723,1561,2
876,1573,1402,1
1447,869,878,3
1664,120,1839,1
1299,1007,823,1
959,563,599,3
582,838,549,1
225,318,577,3
779,1243,1233,2
637,1179,1354,1
1384,875,1449,2
1827,271,825,3
1262,1483,329,1
1291,305,1482,3
17,745,1827,2
1101,1010,971,2
1386,120,10,2
423,239,672,2
1000,142,313,2
741,1626,281,2
709,1437,1248,3
792,1201,1625,2
1174,106,1060,3
1329,1532,688,3
271,1547,1255,2
619,1286,1084,3
639,98,1022,2
606,1147,281,3
1253,519,1656,2
1577,1622,766,1
543,1507,72,1
1550,1588,175,3
60,633,1077,1
1518,1213,1082,2
703,1010,939,2
1747,864,1534,3
1030,1,525,3
269,1418,472,3
159,1294,1190,2
1210,1092,1045,3
1145,93,1158,3
723,1466,149,1
1344,1355,1768,1
209,1588,1709,1
312,936,385,2
824,710,213,1
1033,639,1062,2
987,1154,1257,2
1431,1663,899,1
838,994,19,2
1151,1552,431,2
1650,1801,786,3
782,1824,1375,1
1240,478,1085,2
480,671,1547,2
805,580,1440,1
575,410,681,1
884,1530,377,1
442,1790,404,1
232,434,354,1
209,74,1091,1
173,582,629,3
1240,1061,539,1
135,1568,493,1
1755,1055,1517,1
1497,1764,1463,1
645,1125,381,3
108,321,916,1
1573,899,501,2
750,628,799,3
458,709,127,3
194,1404,109,1
1849,1640,917,2
281,561,1062,1
1238,1131,1663,1
20,634,395,1
276,900,800,1
343,1551,220,2
1302,1558,1404,3
1715,527,140,2
1247,441,1204,3
876,608,843,2
1020,1839,1490,2
1583,130,1289,3
770,410,336,1
1442,1079,788,1
705,1806,1000,3
584,895,1294,3
660,1759,294,1
1014,30,268,1
1000,320,53,1
491,420,1387,2
174,1277,768,2
15,1032,1697,2
1280,1093,1089,3
127,1637,914,3
444,1725,1087,1
255,682,105,1
368,295,1367,1
202,171,967,2
1234,159,635,3
155,219,687,2
100,1463,221,3
1446,1388,470,3
684,423,1088,3
1584,182,1486,2
580,1552,1754,2
1209,1473,299,2
937,657,251,2
21,1641,1104,3
54,79,862,3
1075,64,1565,3
775,1700,946,1
581,938,1461,1
679,1175,1819,2
1050,672,1581,2
1354,640,1205,3
970,480,112,3
1264,199,288,2
215,507,440,1
226,979,1170,2
1709,495,1536,2
1327,583,1646,1
590,215,229,1
287,900,744,2
525,1728,1390,2
1339,1735,1034,3
1293,122,127,3
1162,370,1190,3
1429,1341,1234,2
1665,416,111,3
1753,234,645,1
1149,378,252,2
1316,819,669,1
1286,711,1818,1
794,865,886,3
640,884,586,2
600,236,1258,2
527,617,242,2
335,751,379,2
217,1016,161,2
1242,1199,594,1
960,1305,1411,2
934,512,156,1
1547,1808,939,1
1012,325,512,2
459,1140,198,2
676,1772,317,2
1409,250,1774,1
995,1016,1819,1
65,1329,1848,3
1758,143,1538,2
1252,140,1717,2
771,1580,1310,3
1635,761,692,2
982,1045,1015,1
1004,8,489,3
156,1354,991,3
49,792,388,2
596,261,1091,3
517,978,1845,1
1209,1287,551,2
707,1741,1731,2
162,1342,442,1
1725,578,624,2
630,155,347,2
333,122,1237,3
546,693,435,2
1576,1774,1255,2
888,548,797,2
1249,1145,1771,3
397,1238,1469,2
879,1267,1569,1
1225,1144,1741,1
95,155,260,3
433,1116,1683,3
139,349,1171,3
1323,804,1528,2
421,336,867,2
763,899,961,1
1550,54,1417,2
449,1803,73,2
1435,1446,1540,1
392,1232,1506,1
296,1316,1232,3
1718,1445,262,2
635,345,435,2
947,1209,768,3
1151,709,1663,3
1676,80,1649,3
694,1765,423,1
959,1254,676,3
754,512,549,2
563,1212,1567,2
426,880,875,3
329,429,1806,1
832,931,256,1
1843,1534,1717,1
1131,865,1569,3
1822,1699,1766,1
314,24,758,1
549,442,1162,2
1635,1193,347,3
645,815,1458,2
1393,361,1854,3
383,73,1624,1
1654,761,1645,3
1124,1158,1198,3
1063,1159,419,1
1228,355,637,2
718,1794,615,3
1529,141,1290,2
1310,771,930,2
1767,1500,1164,2
1583,95,1713,1
487,245,1313,1
978,692,1439,1
1693,1244,119,2
703,1446,1425,3
1695,714,1122,1
1800,913,1323,3
836,1056,830,3
1551,54,906,2
2,150,1058,3
486,838,391,1
307,1670,1787,3
827,1663,1103,3
1658,1817,157,3
1089,1268,649,2
817,1762,1231,2
633,819,963,2
1179,212,804,2
605,1317,1382,2
1425,174,1362,3
798,570,313,2
549,1134,1705,2
565,60,12,1
15,634,567,2
699,200,1840,2
1638,688,1514,3
174,1739,865,2
1728,1540,219,2
1203,1133,259,2
249,226,624,2
1771,1676,1701,3
403,334,788,3
583,1805,1587,1
651,1736,329,1
1521,351,1080,3
1048,203,42,2
858,400,1726,3
1436,1006,1343,1
1044,1648,979,1
1656,591,507,3
1333,511,880,1
1211,1346,1533,1
1206,751,748,2
772,1512,1650,3
1756,1014,81,2
1184,57,1018,2
1445,1403,630,1
219,1366,314,1
134,299,29,1
1206,1336,1452,1
1749,870,550,1
1675,1770,762,3
296,77,638,2
1473,1215,418,2
729,105,1829,1
1758,966,523,1
440,1759,317,2
1075,107,853,1
886,1505,520,2
1444,215,674,2
1326,1138,760,2
595,104,826,3
1549,1751,103,1
1094,538,519,2
656,6,918,1
1749,1757,929,3
60,1346,522,1
218,1670,1222,1
1585,954,1836,3
1299,623,275,1
1123,833,21,1
1637,840,1296,2
1027,159,1272,3
1652,1706,1357,1
947,353,964,3
271,1004,227,2
1408,1809,1344,2
1276,1850,122,3
115,1015,1496,1
1687,614,700,2
10,182,644,1
924,1429,322,3
1657,479,1820,2
1474,1161,422,1
1820,1303,223,2
315,190,683,3
1561,329,1761,1
310,1140,1027,2
570,1043,696,2
1851,1315,452,2
1638,727,1808,2
1211,1289,1228,2
617,705,1597,2
902,800,783,1
1680,518,896,1
1415,527,1026,3
344,1135,448,2
937,338,915,1
1632,390,1002,2
1841,1226,700,3
1319,1359,1547,2
361,88,531,2
927,1418,986,1
1514,146,1366,2
831,1297,802,3
1779,718,1733,3
540,1379,1613,2
1175,1584,1088,1
1203,218,702,3
1187,587,118,3
583,1592,103,1
1450,1620,1783,1
557,114,1121,3
1029,1835,450,2
1305,80,1444,3
1706,1261,1401,3
714,1375,913,3
1671,208,1839,3
1666,1657,1143,2
1670,504,852,1
444,606,1324,3
1562,405,284,3
1543,1229,1529,1
967,216,910,3
445,973,35,1
1519,378,729,3
1478,136,1318,2
159,1713,1562,2
1562,1330,527,3
958,1323,219,3
1636,1185,356,1
421,1613,831,3
332,780,174,2
625,179,1336,2
1714,1721,263,1
678,1088,1218,2
1287,134,1649,1
319,402,640,1
1456,889,1825,2
1627,1068,776,1
280,1135,781,3
473,1082,593,3
442,648,78,2
899,130,696,1
407,84,1198,1
679,756,518,1
88,292,173,2
359,569,223,3
518,528,120,2
663,1246,1774,1
426,695,456,2
852,594,549,1
1597,1678,1692,1
1160,83,375,3
874,1064,1587,3
1830,814,1789,2
871,338,1702,2
1634,442,1204,3
1824,678,1379,3
1054,730,570,2
918,116,1584,3
1128,460,300,2
1235,540,1152,2
1187,865,698,3
1176,1051,517,2
1489,139,251,2
1056,195,1497,1
1004,143,1081,1
1516,1071,98,3
1785,475,49,1
1253,1577,1635,2
419,1370,1003,2
325,226,1684,3
1792,582,537,2
1481,1023,1681,3
1566,1294,309,1
223,339,836,1
385,1181,906,1
407,84,1001,1
1352,455,470,2
1727,1332,1324,3
1780,1482,1519,3
388,1623,466,3
52,911,1061,3
1517,1118,428,3
639,897,1229,2
977,1691,629,1
588,397,1741,1
939,20,1751,1
175,911,190,2
822,746,1452,3
838,1410,357,2
247,154,488,2
323,1639,383,1
1537,1147,1847,3
1560,556,1425,1
996,1226,615,2
889,4,1318,3
1487,1654,891,2
1268,455,749,2
434,123,264,2
29,333,41,2
1387,901,398,2
38,1453,800,2
1219,248,322,2
1626,357,1470,2
429,110,1659,1
148,17,1775,2
1401,1317,1796,2
236,20,1198,1
135,1004,110,1
1387,462,597,3
1841,405,648,3
361,395,1452,3
1697,1699,423,3
1839,1440,1093,3
1120,1408,549,2
607,1390,363,2
976,1038,420,2
1534,764,1388,1
1664,80,1043,2
1406,1539,214,1
504,447,1150,2
1474,925,566,3
54,1279,1086,2
1301,757,941,2
1783,233,1089,2
450,1215,596,3
664,723,564,2
328,1464,1605,1
1201,1333,203,2
426,1825,751,3
1433,974,1042,1
84,481,722,2
764,692,1583,2
123,977,665,2
89,740,651,2
420,803,1849,1
451,581,910,3
1375,197,1348,2
177,1668,1686,3
1135,1076,135,3
687,656,1554,2
241,12,568,3
1523,891,1010,1
1762,1518,1787,2
946,274,116,3
614,139,1596,3
645,986,1489,1
638,794,1478,2
1813,281,1741,3
1224,332,794,3
728,364,1196,2
1755,1048,454,2
485,671,300,3
591,1054,1010,2
88,851,824,1
1734,619,374,2
65,1006,1783,1
774,335,782,1
1523,1589,1085,1
414,1052,596,3
909,1633,1748,2
1367,947,816,3
1380,640,913,1
294,1518,1369,2
987,200,792,1
865,138,1336,3
862,1109,59,2
676,300,737,2
276,1016,1611,1
110,772,703,3
927,1556,397,1
996,1218,957,3
1540,1170,288,1
415,65,1312,3
149,249,1074,2
738,1113,756,1
1320,1118,182,1
179,1346,461,1
1611,1754,1100,1
171,218,308,1
171,1665,628,2
1593,755,1663,3
1007,1782,893,3
283,34,944,3
925,780,33,2
1154,1573,879,1
367,1396,1749,3
1666,1421,1754,1
1046,931,330,3
1542,476,1567,2
1166,470,1123,3
808,1588,1741,1
1433,1075,568,2
1044,430,147,3
1633,880,472,3
851,1187,1505,1
623,1407,337,3
1764,373,845,3
1554,358,758,1
421,210,1439,1
1798,1311,193,2
647,412,550,2
1815,334,1002,3
138,1234,38,2
357,23,1276,2
152,142,917,3
518,1101,218,2
410,543,1199,3
1382,1803,162,1
1131,1355,60,1
1550,578,1566,2
734,947,1348,1
1066,124,1193,1
405,1065,656,3
287,1499,159,1
1740,647,669,2
1562,619,576,1
419,258,789,1
1355,1479,1212,1
794,1558,733,1
938,181,1847,1
645,1640,1164,1
1155,623,1828,3
358,649,947,3
760,1,1325,2
1417,285,100,1
1721,1066,573,3
561,410,711,1
1457,1042,200,1
1575,1327,847,1
1339,728,1643,3
1633,53,46,3
1001,15,691,2
1071,1160,1345,1
1551,1640,418,2
1367,897,614,1
57,114,616,3
1536,422,659,3
39,1022,976,2
747,410,395,3
1633,4,260,2
1705,104,1216,3
73,1374,1036,1
1545,1350,33,3
239,1545,472,3
329,1698,548,2
1026,246,1418,2
1853,709,1760,2
1305,609,926,1
1771,672,1707,1
132,1829,1357,1
424,480,1081,2
107,1743,131,3
1570,1350,1139,2
1024,1630,944,3
1370,1354,228,3
1522,1719,1010,1
499,50,380,2
813,171,1661,3
857,1844,1638,2
180,742,244,3
1623,130,1204,3
775,1551,76,2
715,992,636,3
1555,1715,1430,3
116,1293,1146,2
738,1266,120,2
291,1065,747,2
394,346,1712,3
244,354,970,1
257,646,1611,2
1514,1183,346,3
983,1352,158,3
1308,1249,1288,2
407,546,92,3
432,1272,1133,3
675,1767,1114,1
397,1625,528,1
766,1621,760,3
1384,1503,382,2
1020,283,1092,1
431,640,1527,2
352,1352,960,2
127,960,463,3
1685,1500,1778,2
621,1639,1386,3
410,1596,1364,2
963,629,1790,2
1238,957,187,3
684,921,1450,2
1749,217,927,1
796,1809,404,3
694,208,1065,2
1101,673,670,2
697,1395,809,3
1179,1732,1377,2
1113,733,132,2
1440,1206,770,2
1121,1006,482,1
218,1847,358,3
1587,609,1257,3
978,374,295,2
793,1826,594,1
32,739,838,1
370,126,1772,1
1269,1458,1032,1
594,78,465,2
996,1336,1688,3
256,1402,1568,3
1623,1200,790,3
1143,1239,1176,2
719,1099,869,2
1553,1545,138,1
989,1666,1163,3
1178,1297,1229,3
1183,1544,1211,1
572,283,1822,2
1515,915,686,2
1159,1048,1041,2
322,365,549,1
712,650,862,2
1643,703,88,3
233,1336,1019,2
1794,900,1188,3
1269,1430,570,1
128,515,438,3
1663,1597,1125,3
145,589,829,3
307,387,740,1
1279,1580,1714,2
935,391,801,2
62,1247,1756,2
760,1047,702,3
1344,796,1790,1
985,935,1261,3
1344,1604,1650,3
260,1124,1621,2
1323,100,1798,3
772,398,1245,1
1436,208,566,2
676,1473,1628,2
611,1468,530,2
130,1810,525,2
94,96,1740,3
803,830,1748,1
1800,235,1550,2
1221,863,967,3
336,201,743,1
1346,304,1854,2
1740,1678,465,3
1587,845,1514,3
821,701,1819,1
783,36,1051,3
1020,437,826,1
696,239,385,1
1537,1128,1608,1
1383,773,1019,3
1708,670,540,2
988,1073,1598,3
493,1782,888,2
374,28,1127,2
936,24,1449,3
497,135,888,2
776,814,1610,1
1697,1727,363,2
1449,1453,1481,1
1720,1826,1527,1
1241,1454,954,1
1097,995,729,2
838,419,124,3
193,108,172,2
138,1725,853,3
1793,1368,19,2
685,901,1736,1
466,117,1218,1
1845,1178,479,3
681,339,270,2
1112,1094,1295,1
1825,108,881,1
1490,1040,1091,2
1650,1720,834,2
678,744,492,2
861,1221,834,3
779,443,572,3
936,1692,1400,2
1090,630,1499,2
1106,539,1599,3
1492,1031,564,3
206,382,38,3
3,179,584,3
1249,595,711,1
1076,1397,189,1
1201,998,1613,1
417,344,365,2
935,964,1284,3
1338,199,703,3
338,798,256,2
1677,666,1410,3
696,1831,959,1
1383,331,75,1
938,842,1357,1
1593,1385,454,1
1631,1324,1830,2
54,1000,23,2
1065,1309,26,2
235,1498,863,2
868,1284,1396,1
229,1014,500,3
1717,592,170,2
599,218,335,3
1554,645,1465,2
645,690,1136,1
110,38,1411,2
1154,753,358,1
1119,182,209,3
774,246,783,1
55,34,1807,3
734,1218,1069,2
233,1187,1402,2
569,96,434,2
1467,208,1362,1
1501,1721,1535,2
1050,1152,985,2
550,845,1558,1
402,1281,388,2
475,605,336,1
244,978,466,3
1146,1738,30,1
1564,1610,868,3
416,1301,635,2
661,1822,1585,2
328,946,41,2
1094,1699,310,1
1170,691,994,1
556,1415,1815,3
517,445,1517,2
643,1491,395,2
1516,1008,1423,3
193,1221,634,1
1128,723,815,2
257,436,1632,3
1370,1368,696,3
417,662,1179,1
1782,826,200,3
1479,1264,339,3
1250,789,321,1
1385,307,1524,1
686,122,124,3
1704,79,1460,1
435,1832,1541,3
410,1347,1352,1
1411,945,1069,1
1093,1154,1645,3
590,1490,1742,2
203,1835,1039,1
494,1042,57,3
968,963,270,3
1149,1208,214,2
903,274,1812,3
1820,387,279,2
1234,335,325,1
304,125,1474,1
836,1442,475,3
392,1287,1377,2
1218,354,762,1
296,503,1837,1
1741,1032,1494,2
689,1273,1652,2
1658,1282,406,3
1480,1206,1741,3
1716,664,453,3
648,691,1038,2
511,1675,883,2
1143,932,1197,2
1456,219,356,3
214,99,1379,2
1376,1397,60,1
176,667,935,3
1237,67,450,1
503,1709,710,3
1293,1178,1596,2
792,1104,1771,1
472,130,1588,1
519,768,1146,3
155,1061,746,1
170,1228,795,1
1121,534,1312,2
914,1833,1705,2
498,886,1203,3
563,1374,715,1
633,1445,738,1
837,504,1227,3
309,691,1491,3
1083,1808,215,3
911,1520,1609,1
682,695,598,2
114,1233,33,2
549,1232,257,1
699,1082,1039,3
1264,1280,1133,2
878,1736,255,2
1797,196,826,3
1240,553,1473,3
231,1165,478,2
440,1332,1643,1
844,686,1593,2
834,300,1555,2
1339,310,635,3
817,1231,1116,1
530,428,540,2
1417,1767,279,1
1703,141,509,2
1534,1231,171,2
518,670,1199,1
1248,205,1776,2
959,1474,308,1
1816,1106,1616,2
1140,176,1202,1
613,567,1774,1
342,613,1577,2
1028,842,940,2
1072,1194,1329,2
218,721,1328,2
323,668,989,1
1788,212,1704,3
783,1663,458,2
877,1297,1548,2
1760,877,914,1
1497,963,1743,1
1004,909,1661,3
1676,847,1389,1
1277,130,104,2
907,140,1304,2
1830,214,297,2
1111,1277,1187,1
99,409,175,2
1221,560,1817,2
190,318,639,3
1102,1249,1659,1
1682,857,1084,2
293,1613,130,3
1554,1484,709,1
849,1095,1722,1
393,137,240,3
1561,791,520,1
1205,1524,972,3
563,789,615,2
240,496,216,3
1558,483,338,2
1046,761,224,1
917,783,257,3
602,1119,1349,3
475,592,417,3
1783,1062,1352,2
1308,1110,1285,2
1461,731,1698,2
752,1444,798,1
597,200,1580,1
1203,592,1046,3
1171,1089,1339,1
1018,397,614,3
1202,1812,1644,3
442,695,1286,1
1853,1130,1744,1
848,350,504,1
10,1677,904,2
954,512,1486,1
1293,822,88,3
122,1704,955,1
1624,1029,941,2
1854,840,1503,3
1300,972,334,2
1328,934,222,2
1486,55,1708,3
316,1838,611,1
469,1636,863,1
368,1347,880,2
1598,1063,486,3
1562,495,506,3
49,788,1697,2
1016,164,1222,3
562,124,1497,3
722,1567,478,2
1792,1778,506,3
1136,363,798,2
1559,692,143,2
415,452,249,3
866,964,888,2
1167,1652,1234,2
149,333,1275,1
1351,204,328,2
444,1123,637,2
1237,1482,390,1
239,122,1453,3
73,79,618,3
1841,201,367,3
1800,1263,54,3
725,327,1831,2
259,1738,862,2
982,1536,1633,1
823,1839,1505,1
526,1142,999,1
724,1263,711,3
1006,1618,1498,3
1331,172,426,2
940,397,1591,1
1799,255,857,2
561,1819,1633,2
378,706,1225,1
198,626,260,1
1723,75,1533,2
1778,1007,1515,1
696,817,1707,2
1617,1033,1109,2
1493,101,1688,2
354,961,1585,1
616,1154,1219,2
1619,1130,1116,3
1632,529,1602,2
1022,273,1384,1
1022,1251,1656,2
983,136,713,1
430,1424,1606,2
1585,366,770,3
594,29,168,3
1330,811,357,2
285,926,559,1
73,1352,1368,1
998,597,322,3
757,1809,1802,1
300,847,1047,2
37,306,690,1
1310,653,955,1
847,1154,803,2
1401,297,1367,1
1350,422,368,3
5,430,1847,1
182,157,240,1
1829,1473,197,2
1386,294,1419,3
957,698,1818,2
585,1391,1165,2
1823,1139,1055,2
1473,313,139,1
162,7,1682,2
1718,1096,288,3
653,628,635,2
78,1490,1162,3
1055,821,508,3
1798,966,880,1
616,1512,1249,3
288,1395,579,3
1609,570,914,2
798,739,1434,2
926,1366,1267,3
1790,199,376,3
701,462,640,2
277,780,268,2
1541,1797,571,3
1167,1442,1352,3
1026,1681,1505,1
33,1115,58,2
1039,369,474,1
1566,1345,1370,3
954,1287,1264,3
443,1532,218,1
1585,1577,374,2
611,1825,1464,2
1431,1111,645,3
130,904,909,2
1204,505,1603,3
184,708,529,1
1213,479,667,3
762,861,110,1
1516,448,579,3
1327,857,1059,2
1435,1395,251,1
926,11,1518,3
1162,1355,1796,3
728,773,1847,1
281,1083,1037,2
1210,128,863,3
940,1713,1287,1
220,346,541,3
254,393,1009,3
880,580,401,2
188,1139,1479,2
864,1731,981,1
15,217,584,1
1254,392,192,3
795,910,1101,3
147,735,333,2
1001,1612,448,1
1469,758,1517,3
530,1629,1364,3
1324,670,1700,3
1361,1587,288,3
1833,1785,841,3
651,900,292,3
1110,1067,1490,2
1528,197,114,3
241,618,998,2
623,504,662,1
405,1620,1714,1
1840,277,732,2
802,1479,1379,2
1631,1282,817,1
309,1133,120,2
1593,252,1236,2
415,480,1435,1
575,1481,219,3
392,145,1201,1
1591,1172,453,2
51,1469,183,1
370,179,1010,3
282,1526,245,1
699,17,386,2
747,1561,625,2
1289,1536,358,1
1586,512,491,1
280,719,309,2
200,457,157,3
403,1281,124,2
495,1826,88,3
1780,1280,1714,3
1483,1654,962,2
1361,1680,1066,1
917,744,1021,1
604,326,458,1
908,185,1617,1
359,834,950,3
841,549,1497,3
1523,1530,1473,1
1,1412,256,1
1392,453,1235,3
755,1829,658,3
